host_id,ts,cpu_usage_pct,cpu_ready_pct,mem_usage_pct,network_latency_ms,component_count_pct
4212d2bd-3964-48b4-b0e3-07bd0415b30a,2026-09-12T00:00:00,22.47,1.6,43.33,0.76,50.23
c0d1af12-6d86-4bb7-b100-eb9317bface3,2026-09-12T00:00:00,18.64,0,41.62,0.5,36.75
ab4ec270-e09c-416f-b2e1-ca57bca64108,2026-09-12T00:00:00,25.18,0.65,44.52,0.49,34.83
479271d0-7de0-44c6-83e1-a3d9addfee9c,2026-09-12T00:00:00,22.31,1.45,44.47,0.73,35.7
ed74dcd0-6258-40af-8e5e-a48f2aa88b63,2026-09-12T00:00:00,25.14,1.66,41.58,0.53,34.06
913e07b4-58fc-4422-ba27-1aaa68253a84,2026-09-12T00:00:00,24.69,1.23,47.5,0.51,32.8
351ad0d5-0a18-424f-8090-451baad96128,2026-09-12T00:00:00,25.49,2.23,43.84,0.76,37.85
af9e1b91-5759-47e6-b0e2-2b5b494ef02b,2026-09-12T00:00:00,22.91,0.52,41.77,0.78,32.11
7e2aaa32-e289-4202-aa93-7e0df02795f7,2026-09-12T00:00:00,23.29,1.53,42.2,0.75,36.16
c5a3fb23-c801-4300-8a1a-ba7b0970ef9e,2026-09-12T00:00:00,30.15,1.75,41.61,0.55,33.34
de4a93e3-dbdf-4611-b9ff-6306599cd36c,2026-09-12T00:00:00,26.04,1.04,42.69,0.75,33.55
b09252b0-558a-4f09-9cb5-86a3a4453781,2026-09-12T00:00:00,22.31,0.27,40.66,0.55,35.83
793143cb-8813-4de1-9023-75c9e3c24f19,2026-09-12T00:00:00,26.77,1.37,43.35,0.66,37.17
4191fcf6-9e4d-4457-8114-6380a6a405a3,2026-09-12T00:00:00,25.87,1.54,40.81,0.77,35.76
a36db6aa-0928-497b-83d9-7afb08fd79b4,2026-09-12T00:00:00,26.87,1.36,46.74,0.58,38.19
773252a5-cf6d-4c04-b640-9a714e69e146,2026-09-12T00:00:00,23.53,1.07,40.57,0.62,37.85
4212d2bd-3964-48b4-b0e3-07bd0415b30a,2026-09-12T00:02:00,24.11,2.42,39.44,0.79,50.64
c0d1af12-6d86-4bb7-b100-eb9317bface3,2026-09-12T00:02:00,25.27,1.4,41.76,0.45,35.39
ab4ec270-e09c-416f-b2e1-ca57bca64108,2026-09-12T00:02:00,22.56,2.59,41.58,0.69,31.86
479271d0-7de0-44c6-83e1-a3d9addfee9c,2026-09-12T00:02:00,21.95,1.53,44.45,0.85,34.91
ed74dcd0-6258-40af-8e5e-a48f2aa88b63,2026-09-12T00:02:00,19.78,1.65,43.84,0.71,33.6
913e07b4-58fc-4422-ba27-1aaa68253a84,2026-09-12T00:02:00,26.54,1.43,44.2,0.83,36.22
351ad0d5-0a18-424f-8090-451baad96128,2026-09-12T00:02:00,24.0,2.67,43.29,0.59,35.22
af9e1b91-5759-47e6-b0e2-2b5b494ef02b,2026-09-12T00:02:00,27.58,1.44,43.84,0.82,33.97
7e2aaa32-e289-4202-aa93-7e0df02795f7,2026-09-12T00:02:00,17.96,1.55,43.26,0.55,36.74
c5a3fb23-c801-4300-8a1a-ba7b0970ef9e,2026-09-12T00:02:00,24.96,0.78,43.84,0.61,32.03
de4a93e3-dbdf-4611-b9ff-6306599cd36c,2026-09-12T00:02:00,24.49,1.35,41.31,0.72,35.98
b09252b0-558a-4f09-9cb5-86a3a4453781,2026-09-12T00:02:00,21.4,1.61,44.83,0.53,35.76
793143cb-8813-4de1-9023-75c9e3c24f19,2026-09-12T00:02:00,23.14,2.73,39.08,0.74,34.39
4191fcf6-9e4d-4457-8114-6380a6a405a3,2026-09-12T00:02:00,22.84,2.51,42.78,0.97,34.12
a36db6aa-0928-497b-83d9-7afb08fd79b4,2026-09-12T00:02:00,24.19,1.08,41.42,0.65,34.43
773252a5-cf6d-4c04-b640-9a714e69e146,2026-09-12T00:02:00,23.74,0.11,46.81,0.61,38.49
4212d2bd-3964-48b4-b0e3-07bd0415b30a,2026-09-12T00:04:00,21.65,0.68,41.22,0.46,49.13
c0d1af12-6d86-4bb7-b100-eb9317bface3,2026-09-12T00:04:00,22.09,1.64,45.82,0.65,37.0
ab4ec270-e09c-416f-b2e1-ca57bca64108,2026-09-12T00:04:00,21.89,0.92,41.43,0.87,36.99
479271d0-7de0-44c6-83e1-a3d9addfee9c,2026-09-12T00:04:00,24.55,3.37,42.71,0.73,35.62
ed74dcd0-6258-40af-8e5e-a48f2aa88b63,2026-09-12T00:04:00,22.42,2.76,45.79,0.43,34.2
